Type,Ref,Prix,nbPages,Url
Video,V84,26, ,bu.univ-angers.fr/doc/84
Livre,L85,19,570, 
Video,V85,26, ,bu.univ-angers.fr/doc/85
Livre,L86,9,675, 
Video,V86,15, ,bu.univ-angers.fr/doc/86
Livre,L87,27,809, 
Video,V87,27, ,bu.univ-angers.fr/doc/87
Livre,L88,21,602, 
Video,V88,33, ,bu.univ-angers.fr/doc/88
Livre,L89,18,611, 
Video,V89,42, ,bu.univ-angers.fr/doc/89
Livre,L90,16,603, 
Video,V90,30, ,bu.univ-angers.fr/doc/90
Livre,L91,20,777, 
Video,V91,28, ,bu.univ-angers.fr/doc/91
Livre,L92,6,603, 
Video,V92,40, ,bu.univ-angers.fr/doc/92
Livre,L93,11,954, 
Video,V93,43, ,bu.univ-angers.fr/doc/93
Livre,L94,16,685, 
Video,V94,17, ,bu.univ-angers.fr/doc/94
Livre,L95,9,985, 
Video,V95,29, ,bu.univ-angers.fr/doc/95
Livre,L96,28,178, 
Video,V96,40, ,bu.univ-angers.fr/doc/96
Livre,L97,21,945, 
Video,V97,35, ,bu.univ-angers.fr/doc/97
Livre,L98,27,791, 
Video,V98,15, ,bu.univ-angers.fr/doc/98
Livre,L99,28,789, 
Video,V99,27, ,bu.univ-angers.fr/doc/99
