Type,Ref,Prix,nbPages,Url
Video,V185,41, ,bu.univ-angers.fr/doc/185
Livre,L186,25,296, 
Video,V186,16, ,bu.univ-angers.fr/doc/186
Livre,L187,26,729, 
Video,V187,17, ,bu.univ-angers.fr/doc/187
Livre,L188,22,745, 
Video,V188,48, ,bu.univ-angers.fr/doc/188
Livre,L189,15,971, 
Video,V189,34, ,bu.univ-angers.fr/doc/189
Livre,L190,29,994, 
Video,V190,39, ,bu.univ-angers.fr/doc/190
Livre,L191,6,85, 
Video,V191,19, ,bu.univ-angers.fr/doc/191
Livre,L192,29,704, 
Video,V192,26, ,bu.univ-angers.fr/doc/192
Livre,L193,30,977, 
Video,V193,36, ,bu.univ-angers.fr/doc/193
Livre,L194,24,538, 
Video,V194,20, ,bu.univ-angers.fr/doc/194
Livre,L195,28,284, 
Video,V195,17, ,bu.univ-angers.fr/doc/195
Livre,L196,5,655, 
Video,V196,49, ,bu.univ-angers.fr/doc/196
Livre,L197,28,141, 
Video,V197,50, ,bu.univ-angers.fr/doc/197
Livre,L198,29,267, 
Video,V198,21, ,bu.univ-angers.fr/doc/198
Livre,L199,30,56, 
Video,V199,39, ,bu.univ-angers.fr/doc/199
